,Czas,Wynik,Odchylenie,Sekwencyjny,Funkcja,Liczba genów,Liczba procesów
0,3.25,0.0,0.0,True,1,2,
1,5.18,0.0,0.0,True,1,10,
2,8.55,0.0,0.0,True,1,20,
3,26.46,0.15499999999999997,0.04674398357008097,True,1,50,
4,50.41,0.9570000000000001,0.09798469268207155,True,1,100,
5,1.55,0.0,0.0,True,2,2,
6,4.64,0.0,0.0,True,2,10,
7,6.92,0.0,0.0,True,2,20,
8,19.64,-1.373,0.1590628806478746,True,2,50,
9,37.03,-2.257,0.11498260738042083,True,2,100,
10,0.64,0.0,0.0,False,1,2,8.0
11,1.1,0.0,0.0,False,1,10,8.0
12,2.22,0.0,0.0,False,1,20,8.0
13,7.55,0.14800000000000002,0.04874423042781576,False,1,50,8.0
14,14.69,0.907,0.07457211275000865,False,1,100,8.0
15,0.57,0.0,0.0,False,2,2,8.0
16,0.98,0.0,0.0,False,2,10,8.0
17,1.72,0.0,0.0,False,2,20,8.0
18,5.6,-1.292,0.10146920715172655,False,2,50,8.0
19,11.29,-2.242,0.05878775382679621,False,2,100,8.0
20,0.73,0.000,0.000000,GPU,1,2
21,1.44,0.000,0.000000,GPU,1,10
22,2.78,0.000,0.000000,GPU,1,20	
23,12.38,0.173,0.022383,GPU,1,50	
24,27.25,0.973,0.083072,GPU,1,100
25,0.64,0.000,0.000000,GPU,2,2	
26,1.34,0.000,0.000000,GPU,2,10	
27,2.53,0.000,0.000000,GPU,2,20	
28,9.54,-1.378,0.104766,GPU,2,50	
29,25.52,-2.221,0.090050,GPU,2,100	
