,Czas,Wynik,Ochylenie,Funkcja,Liczba genów,Zrownoleglenie
1,0.47,0,0,2,2,MPI
2,0.64,0,0,2,10,MPI
3,0.98,0,0,2,20,MPI
4,3.25,-1.09,0.159373774505092,2,50,MPI
5,5.72,-1.9875,0.070725407975729,2,100,MPI
6,1.55,0,0,2,2,Sekwencyjny
7,4.64,0,0,2,10,Sekwencyjny
8,6.92,0,0,2,20,Sekwencyjny
9,19.64,-1.373,0.159062880647875,2,50,Sekwencyjny
10,37.03,-2.257,0.114982607380421,2,100,Sekwencyjny
11,0.57,0,0,2,2,Multiprocessing
12,0.98,0,0,2,10,Multiprocessing
13,1.72,0,0,2,20,Multiprocessing
14,5.6,-1.292,0.101469207151727,2,50,Multiprocessing
15,11.29,-2.242,0.058787753826796,2,100,Multiprocessing
16,0.64,0,0,2,2,GPU
17,1.34,0,0,2,10,GPU
18,2.53,0,0,2,20,GPU
19,9.54,-1.378,0.104766,2,50,GPU
20,25.52,-2.221,0.09005,2,100,GPU
