,Czas,Wynik,Ochylenie,Funkcja,Liczba genów,Zrownoleglenie
1,0.45,0,0,1,2,MPI
2,0.67,0,0,1,10,MPI
3,1.05,0,0,1,20,MPI
4,4.56,0.07,0.024494897427832,1,50,MPI
5,8.88,0.774,0.107163426596951,1,100,MPI
6,0.47,0,0,2,2,MPI
7,0.64,0,0,2,10,MPI
8,0.98,0,0,2,20,MPI
9,3.25,-1.09,0.159373774505092,2,50,MPI
10,5.72,-1.9875,0.070725407975729,2,100,MPI
11,0.64,0,0,1,2,Multiprocessing
12,1.1,0,0,1,10,Multiprocessing
13,2.22,0,0,1,20,Multiprocessing
14,7.55,0.148,0.048744230427816,1,50,Multiprocessing
15,14.69,0.907,0.074572112750009,1,100,Multiprocessing
16,0.57,0,0,2,2,Multiprocessing
17,0.98,0,0,2,10,Multiprocessing
18,1.72,0,0,2,20,Multiprocessing
19,5.6,-1.292,0.101469207151727,2,50,Multiprocessing
20,11.29,-2.242,0.058787753826796,2,100,Multiprocessing
